name ,height ,achievement 
Abraham Lincoln,188,great
Andrew Jackson,185,near great
Andrew Johnson,178,failure
Barack Obama,187,
Benjamin Harrison,168,average
Bill Clinton,189,above ave
Calvin Coolidge,178,below ave
Chester A Arthur,188,average
Dwight D Eisenhower,179,above ave
Franklin D Roosevelt,188,great
Franklin Pierce,178,below ave
George H W Bush,188,average
George W Bush,180,below ave
George Washington,188,great
Gerald Ford,183,average
Grover Cleveland,180,above ave
Harry S Truman,175,near great
Herbert Hoover,180,average
James Buchanan,183,failure
James Garfield,183,
James Madison,163,above ave
James Monroe,183,above ave
James Polk,173,above ave
Jimmy Carter,175,average
John Adams,170,average
John F Kennedy,183,above ave
John Quincy Adams,170,above ave
John Tyler,183,below ave
Lyndon B Johnson,192,above ave
Martin Van Buren,168,average
Millard Fillmore,175,below ave
Richard Nixon,182,failure
Ronald Reagan,185,below ave
Rutherford B Hayes,174,average
Theodore Roosevelt,178,near great
Thomas Jefferson,189,great
Ulysses S Grant,172,failure
Warren Harding,183,failure
William Henry Harrison,173,
William Howard Taft,183,average
William McKinley,170,average
Woodrow Wilson,180,near great
Zachary Taylor,173,below ave
